Candidate,Comments,Translated,User,Date,Time
Bong Bong Marcos,A weak presidential candidate Ferdinand Bongbong Marcos Jr. has called on his supporters to exercise restraint especially when faced by supporters from rival candidates,A weak presidential candidate Ferdinand Bongbong Marcos Jr. has called on his supporters to exercise restraint especially when faced by supporters from rival candidates,Rere Sy,5/9/2021,
Bong Bong Marcos,"On May 9, we will vote for the Highest Administrator of our country. Do you think BBM is competent, qualified, and suited for the highest position in the Philippines? He lacks a college degree, has a conviction, is considered a weak leader, and has been associated with cocaine according to Du30. Think about it, college graduates who support BBM and are unemployed. We are not voting for a Barangay councilor. WE ARE VOTING FOR THE PRESIDENT OF THE PHILIPPINES, NOT A PRINCE.","On May 9, we will vote for the Highest Administrator of our country. Do you think BBM is competent, qualified, and suited for the highest position in the Philippines? He lacks a college degree, has a conviction, is considered a weak leader, and has been associated with cocaine according to Du30. Think about it, college graduates who support BBM and are unemployed. We are not voting for a Barangay councilor. WE ARE VOTING FOR THE PRESIDENT OF THE PHILIPPINES, NOT A PRINCE.",Victoria Milo,6/9/2021,
Bong Bong Marcos,"Such a very good breeding from parents of a kind and calm person, this is a good example of one person for our constituents especially to our children to follow this good moral character","Such a very good breeding from parents of a kind and calm person, this is a good example of one person for our constituents especially to our children to follow this good moral character",Sam Francisca,7/9/2021,
Bong Bong Marcos,No to another Marcos especially this one! Ano ba nagawa nyan? Eh nung kasagsagan ng pandemic di ko man lang nakita anino nyan. Panay protesta lang sa pagkatalo nya kahit talo na ng ilang ulit. Kahit sino wag lang yan. Sinungalin at wala naman achievements.,"""No to another Marcos, especially this one! What has he done? During the height of the pandemic, I didn't even see his shadow. All he does is protest after losing repeatedly. Anyone but him. He's dishonest and has no real achievements.""",Christopher Lete,8/9/2021,
Bong Bong Marcos,"Duh, they can't even restraint themselves from each other Batuhan silya bote tubig dafuq! Tell them to vote right, to vote for VP Leni so they will be inspired to be better.","""Duh, they can't even restrain themselves, throwing chairs, bottles, and water what the heck! Tell them to vote wisely, to vote for VP Leni so they will be inspired to be better.""",Genevieve Galano,9/9/2021,
Bong Bong Marcos,"In my own opinion, a good politician doesn't necessarily need to engage in debates because our choice is BBM/SARA, and instead, you should focus on the platforms laid out by your politician because they all claim to have good intentions.","""In my own opinion, a good politician doesn't necessarily need to engage in debates because our choice is BBM/SARA, and instead, you should focus on the platforms laid out by your politician because they all claim to have good intentions.""",Ruben Natingga,10/9/2021,
Bong Bong Marcos,Ambait talaga ng next PRESIDENT natinpositive at good vibes lang para sa Unity kaya IPANALO NATINBBM Bongbong MARCOS,"""The next PRESIDENT is really kind, promoting positivity and good vibes for unity. Let's win with BBM (Bongbong Marcos)!""",Lakay Einor,1/9/2021,
Bong Bong Marcos,"Tama na po ang kalabisan ng mga Marcos., Gising na mga Pilipino huwag na po nating hayaan na maulit pa ang mga nagdaang mga pangyayari. ","""Enough of the excesses of the Marcoses. Wake up, Filipinos! Let's not allow the past events to happen again.""",Marlon Monte,1/9/2021,
Bong Bong Marcos,Si Marcos Jr ay magaling gumawa ng fake news. Fake diploma. Fake achievements. Fake war medals. Absent pa sa debate. May utang na P203b nakakahiya ka.,"""Marcos Jr is good at creating fake news. Fake diploma, fake achievements, fake war medals. Absent even in debates. Owing a debt of P203 billion, shameful.""",Beau Voss,3/9/2021,
Bong Bong Marcos,"Talo na si Marcos jr. Puro Leni na ang sigaw ng mga Pilipino youth, dahil sila ay tech savvy hindi na maloloko ng mga Marcos trolls sa youtube at fb. Alam nila ang katotohanan. Kung walang reference fake news! Kung may reference yan ay facts! Facts shall prevail against the Marcos trolls!","""Marcos Jr. has already lost. The Filipino youth are all about Leni's cause because they are tech-savvy and can't be deceived by Marcos trolls on YouTube and Facebook. They know the truth. If there's no reference, it's fake news! If there's a reference, those are facts! Facts shall prevail against the Marcos trolls!""",Crissa Sanchez,1/9/2021,
Bong Bong Marcos,"Kung ayaw na natin naghihirap tayong lahat, kung ayaw nating ng korupsiyon, bakit tayo boboto sa isang tao na may bahid ng korupsiyon. Kung gusto n'yo ng pagbabago, tigilan natin ang pagboto sa mga politikong mga magnanakaw. Sila po ang magpapasasa tayo ang kawawa.""","""If we don't want all of us to suffer, if we don't want corruption, why would we vote for someone tainted with corruption? If you want change, let's stop voting for politicians who are thieves. They will enjoy, and we will be the ones to suffer.""",John Dy,5/9/2021,
